Ticker,"Company Name","Annual Div","Div Yield"
MTB,"M&T Bank","4.00","2.5"
MDC,"M.D.C. Holdings","1.11","3.7"
MCBC,"Macatawa Bank","0.28","2.7"
MFNC,"Mackinac Financial","0.48","3.0"
MIC,"Macquarie Infrastructure ","4.00","9.6"
M,"Macy's","1.51","5.8"
MMP,"Magellan Midstream Partners","3.99","6.4"
MGIC,"Magic Software Enterprises Ltd","0.29","3.3"
MGA,"Magna International ","1.32","2.5"
MAIN,"Main Street Capital","2.40","6.4"
MN,"Manning and Napier","0.08","3.6"
MFC,"Manulife Financial ","0.76","4.3"
MPC,"Marathon Petroleum Corp","2.12","3.5"
MRLN,"Marlin Business Services","0.56","2.6"
MMLP,"Martin Midstream Partners","2.00","16.3"
MAXR,"Maxar Technologies","1.11","23.9"
MXIM,"Maxim Integrated Products","1.84","3.2"
MBTF,"MBT Financial","0.40","3.9"
MCD,"Mcdonald's Corp","4.64","2.4"
MGRC,"McGrath RentCorp","1.50","2.6"
MDU,"Mdu Resources Group","0.81","3.1"
RC,"Ready Capital ","1.60","11.1"
O,"Realty Income Corp","2.71","3.8"
RWT,"Redwood Trust","1.20","7.5"
RF,"Regions Financial Corp","0.56","3.7"
RNST,Renasant,"0.84","2.4"
RECN,"Resources Connection","0.52","3.5"
ROIC,"Retail Opportunity Investments Corp","0.78","4.5"
RPAI,"Retail Properties of America","0.66","5.4"
RGCO,"RGC Resources","0.66","2.5"
RELL,"Richardson Electronics","0.24","3.5"
RLJ,"RLJ Lodging Trust","1.32","7.2"
RCI,"Rogers Communications ","1.49","2.8"
RY,"Royal Bank of Canada","3.11","4.0"
RCL,"Royal Caribbean Cruises Ltd","2.80","2.4"
RES,RPC,"0.40","3.3"
RRD,"RR Donnelley & Sons Co","0.12","2.5"
R,"Ryder System","2.16","3.3"
RHP,"Ryman Hospitality Properties","3.60","4.3"
STBA,"S & T Bancorp","1.08","2.7"
SBRA,"Sabra Health Care REIT","1.80","9.4"
SABR,"Sabre Corp","0.56","2.6"
SAFE,Safehold,"0.60","2.7"
SAFT,"Safety Insurance Group","3.20","3.5"
SALM,"Salem Media Group","0.26","10.7"
SASR,"Sandy Spring Bancorp","1.12","3.5"
SC,"Santander Consumer USA Holdings","0.80","3.6"
SLB,"Schlumberger Limited.","2.00","4.5"
SCHN,"Schnitzer Steel Industries","0.75","2.9"
SWM,"Schweitzer-Mauduit International","1.76","4.6"
SMG,"Scotts Miracle-Gro Co","2.20","2.7"
STX,"Seagate Technology PLC","2.52","5.1"
SSW,Seaspan,"0.50","5.5"
SRE,"Sempra Energy","3.87","3.1"
SNH,"Senior Housing Properties Trust","1.56","15.7"
SJR,"Shaw Communications ","0.89","4.3"
SHLX,"Shell Midstream Partners LP","1.60","7.8"
SFL,"Ship Finance International Limited","1.40","11.0"
SHBI,"Shore Bancshares","0.40","2.6"
BSRR,"Sierra Bancorp","0.72","2.9"
SIMO,"Silicon Motion Technology ","1.20","2.9"
SFNC,"Simmons First National","0.64","2.5"
SPG,"Simon Property Group","8.20","4.5"
